time,target,item
00:03:52.654,hero_lone_druid,item_tpscroll
00:03:53.187,hero_lone_druid,item_tango
00:04:00.622,hero_silencer,item_ring_of_protection
00:04:01.455,hero_silencer,item_ring_of_protection
00:04:01.856,hero_dazzle,item_tango
00:04:02.322,hero_dazzle,item_clarity
00:04:04.689,hero_silencer,item_enchanted_mango
00:04:05.156,hero_silencer,item_clarity
00:04:05.256,hero_dazzle,item_blight_stone
00:04:08.890,hero_silencer,item_enchanted_mango
00:04:09.324,hero_dazzle,item_tango
00:04:13.125,hero_monkey_king,item_faerie_fire
00:04:13.925,hero_silencer,item_enchanted_mango
00:04:16.758,hero_monkey_king,item_tango
00:05:41.271,hero_monkey_king,item_circlet
00:05:41.438,hero_morphling,item_tango
00:05:50.269,hero_huskar,item_flask
00:06:17.862,hero_monkey_king,item_recipe_wraith_band
00:06:30.659,hero_huskar,item_recipe_bracer
00:06:40.490,hero_dazzle,item_magic_stick
00:06:50.254,hero_monkey_king,item_wraith_band
00:06:56.020,hero_phoenix,item_ring_of_regen
00:06:57.652,hero_phoenix,item_wind_lace
00:06:58.919,hero_monkey_king,item_tpscroll
00:06:59.219,hero_phoenix,item_flask
00:06:59.585,hero_huskar,item_circlet
00:07:05.284,hero_morphling,item_recipe_wraith_band
00:07:11.782,hero_monkey_king,item_orb_of_venom
00:07:16.881,hero_huskar,item_bracer
00:07:16.881,hero_huskar,item_recipe_bracer
00:07:22.080,hero_huskar,item_bracer
00:07:52.406,hero_monkey_king,item_boots
00:07:55.505,hero_morphling,item_magic_stick
00:08:01.004,hero_pudge,item_chainmail
00:08:06.469,hero_monkey_king,item_tango
00:08:38.561,hero_abaddon,item_boots
00:08:41.360,hero_morphling,item_wraith_band
00:08:45.393,hero_monkey_king,item_tpscroll
00:08:45.493,hero_monkey_king,item_tpscroll
00:08:46.926,hero_dazzle,item_recipe_magic_wand
00:08:47.292,hero_dazzle,item_branches
00:08:47.659,hero_dazzle,item_branches
00:08:52.025,hero_huskar,item_boots
00:08:53.358,hero_silencer,item_sobi_mask
00:08:56.723,hero_silencer,item_ward_observer
00:08:57.157,hero_silencer,item_ward_dispenser
00:08:57.157,hero_silencer,item_ward_sentry
00:08:57.323,hero_morphling,item_branches
00:08:58.090,hero_morphling,item_magic_wand
00:08:58.090,hero_morphling,item_recipe_magic_wand
00:08:58.690,hero_silencer,item_clarity
00:09:04.422,hero_abaddon,item_ward_observer
00:09:04.621,hero_abaddon,item_ward_observer
00:09:06.154,hero_lone_druid,item_boots
00:09:07.054,hero_dazzle,item_magic_wand
00:09:07.721,hero_dark_willow,item_boots
00:09:08.754,hero_dark_willow,item_wind_lace
00:09:10.253,hero_dark_willow,item_clarity
00:09:10.520,hero_phoenix,item_boots
00:09:11.886,hero_dazzle,item_ward_observer
00:09:12.420,hero_dark_willow,item_clarity
00:09:17.518,hero_lone_druid,item_tpscroll
00:09:18.251,hero_lone_druid,item_flask
00:09:32.081,hero_phoenix,item_ring_of_regen
00:09:39.846,hero_morphling,item_tango
00:09:41.679,hero_phoenix,item_clarity
00:10:07.406,hero_phoenix,item_tranquil_boots
00:10:11.172,hero_pudge,item_boots
00:10:17.004,hero_monkey_king,item_flask
00:10:23.202,hero_silencer,item_circlet
00:10:27.968,hero_huskar,item_chainmail
00:10:29.001,hero_huskar,item_ward_observer
00:10:36.199,hero_phoenix,item_enchanted_mango
00:10:36.799,hero_phoenix,item_clarity
00:10:37.099,hero_phoenix,item_ward_observer
00:10:37.332,hero_phoenix,item_clarity
00:10:49.762,hero_monkey_king,item_circlet
